Real Smoothie,$4.3
Soda - medium ,$1.3
FroYo small,$3
Soda ,$1
FroYo large ,$4
,
,
,
Nantucket Nectar,$2.45
Powerade,$2.15
Milk,$1.5
Vitamin Water,$2.9
,
,
,
,
Ivy Room Cookie ,$0.55
Muffin,$1.55
 3 Cookies ,$1.55
,
,
,
Chips Lays ,$1.5
Chobani Yogurt ,$2.65
Yoplait Yogurt,$1.6
Nutrigrain,$1.65
Kind Bars,$3.25
Cereal,$1.5
Hummus and Pita,$4
Roch Fruit Salad,$3.95
Pudding,$1.9
Fresh Fruit,$1.35
Stacy's Pita Chips,$1.65
Baby Carrots,$0.8
Falafel Wrap,$4.4
Mac&cheese bar ,$5.55
Pizza-Cheese,$3.85
Burrito Bar,$5.2
Pizza-Veggie,$4.15
Pizza-Special,$4.85
French Fries,$1.6